Original Index,Date,Name,English Name,Manufacturer,Details,Type,Reviewed,Alternate,Additional Info,Type Again
67,1/16/2024,موباكو,Mobaco,Mobaco,"Mobaco is an Egyptian owned and run family operated business with roots dating back to almost a century ago. The brand was first established in 1974, in a small factory in Sudan Street with the idea of bridging the supply and demand gap for Egyptian made, high quality clothing. With the continuing success of the business, the company has grown to over 900 employees and expanded its operations to Bashtil, El Warraq, continuing to aspire towards excellence in quality, design and technology.

https://mobaco.com/about/",alternative,,,,
68,1/16/2024,زارا,Zara,Inditex,"Zara published a new campaign for new clothes  
that offends Palestinian people

They removed the images from social media after being attacked by social media users
  ",unsure,,,,
69,1/16/2024,Hk Design,Hk Design,Hk Design,"This is modest egyptian brand for women clothes
https://hkdesigns-eg.com/pages/career-opportunities

https://www.instagram.com/hk.designs.egy/
",alternative,,,,
70,1/16/2024,حجاب بوتيك,hijab boutique,Hijab Boutique,"https://www.instagram.com/hijabboutique_eg
/
  An egyptian clothing modest brand  for Hijabi women

https://www.hijab-boutique.com/pages/about-us

",alternative,,,,
71,1/16/2024,باث اند بودي وركس,Bath and Body Works,"Bath & Body Works, Inc. (formerly known as L Brands, Inc., Limited Brands, Inc. and The Limited, Inc.) is an American specialty retail company based in Columbus, Ohio","American Company 
Don't know if it directly supports or just american company 

https://en.wikipedia.org/wiki/Bath_%26_Body_Works,_Inc.

https://www.instagram.com/bathandbodyworksarabia/
",boycott,,,,
72,1/16/2024,Green mocktails,Green mocktails,جرين كولا ايجيبت,يُرجى التأكد هل مقاطعة ام لا,unsure,,,,
73,1/17/2024,آد-مي,Add-me,Add-me,الشركة نشأت في مصر عام ٢٠١٩ م ومقرها القاهرة وليس لها فروع في أي مكان آخر ,unsure,,,,
74,1/17/2024,اوكسي ,Oxi ,آرما ,الشركة نشئتها في مصر ,unsure,,,,
75,1/17/2024,بيبسى,بيبسى,بيبسى,مقاطعة ,alternative,,,,
76,1/17/2024,نيوتيلا,Nutella, Ferrero ,"Italian company 
Nutella faced criticism for an online marketing campaign that filtered out words like “Jewish” and “Muslim.” 

Nutella hasn’t come up with any official press release or posted any opinion on social media handles. 

We'll explore Nutella's official statements, the controversies it faced, and its connections to Israel to figure out where it stands in this complex conflict.

https://viraltalky.com/does-nutella-support-israel-or-palestine/",unsure,,,,
77,1/17/2024,مانجو,Mango,Mango,"Mango, is a spanish company 
along with other renowned Spanish labels like Zara, Pull&Bear, and Tous, has chosen to close nearly all of its approximately 50 stores in Israel, managed through franchise partnerships.

I checked with this checker website
https://theislamicinformation.com/more/israeli-product-checker/
that showed it is supporter


However as mentioned above it seems like they closed their stores in Israel
This is mango israel website and you can't order online from the website and stores are not available 
https://shop.mango.com/il/women/dresses-and-jumpsuits/satin-camisole-dress_57089100.html

 
",unsure,,,,
78,1/17/2024,كاريبو, Caribou Coffee,	JAB Holding Company,"It is american company
https://en.wikipedia.org/wiki/Caribou_Coffee",unsure,,,,
79,1/19/2024,فارق فريتس,Farm frites,Farm frites,بالبحث والتحقق اتضح أن فارم فريتس من المنتجات التي لها رواجًا واسعًا في السوق المصري، لكنها تتعاون مع شركة أمريكانا، لذا تندرج تحت قائمة المقاطعة.,boycott,,,,
80,"1/24/2024, 1/30/2024",تييم,"Pepsi, Teem","بيبسي, Pepsi cola","تابع لشركة بيبسي  | مكتوب علي العبوه 
ومعروف علي النت",boycott,,,,
81,1/24/2024,بيتزا بوللز,pizza bulls,BOGA GIDA,بديل بيتزا بتركية تصنيع تركي محلي ٪100 ,alternative,,,,
82,1/25/2024,باتوس,patos,"Doğuş Çay ve Gıda Ürünleri Üretim, Pazarlama, İthalat ve İhracat A.Ş.,",منتج شيبس تركي ٪١٠٠ بديل للدوريتوس,alternative,,,,
83,1/27/2024,فيوز تي,fusetea,coca cola,https://www.coca-cola.com/tr/tr/brands/fusetea,boycott,,,,
84,1/27/2024,سباررو,sbarro,sbarro,https://www.cozum10.com/sbarro-boykot-mu/,boycott,,,,
85,"1/28/2024, 5/11/2024",سباركل,"Sparkle, SparkKe","ElTwaheed for Advanced Industries, TAI",Shampoo alternative  | نوع المنتج شامبوا للكبار و يوجد للصغار و منتجات عناية اكثر,"alternative, unsure",,,,
86,"1/28/2024, 3/2/2024",شاي احمد,"Ahmed tea , Ahmad tea ","Null, Ahmad tea","شاي بالنكهات  | على الرغم من انا مؤسس الشركة هو رجل اعمال ايراني الا أن شاي احمد يباع في السوق الإسرائيلي ويعد من أكبر شركات الشاي إذا لم يكن أكبرها
https://youtu.be/ZawkPQZAIZc?si=uF-8-l6SBdFgs-c0
في هذا الفيديو يظهر شاي احمد على صفحة لبيع المنتجات الغذائية في الكيان المحتل 
","unsure, boycott",,,,
87,1/29/2024,اتوم سبورتسوير,Atum sportswear ,Atum Egypt ,"شركة مصرية منتجة للملابس الرياضية و الأدوات الرياضية فتحت في ٢٠١٩
صاحب الشركة ايهاب عبد المنعم",alternative,,,,
88,1/29/2024,ايه ام دي,amd,AMD,تكنولوجيا,boycott,,,,
89,1/29/2024,كرستال,Crystal,الشركة اليمنية لصناعة السمن والصابون,هذا بديل لشركات الصابون الملابس التي تدعم الكيان الصهيوني القذر,alternative,,,,
